Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [JERGUN CRAFT],Price [JERGUN CRAFT],In stock [JERGUN CRAFT],Low stock [JERGUN CRAFT],Optimal stock [JERGUN CRAFT]
ไวน์ลำธาร-เสาวรส+กล่อง(อุบลราชธานี),10486,ไวน์ลำธาร เสาวรส+กล่อง(อุบลราชธานี) 750 ml,ไวน์,,N,,,,,,,750.00,JC10486,,,Y,,วิสาหกิจชุมชน เกษตรมัลเบอร์รี่ อุบลราชธานี,0.00,Y,980.00,6.000,3.000,6.000
ไวน์ลูกหม่อนฝาดำ-(ไวน์ชัยภูมิ),10647,ไวน์ลูกหม่อนฝาดำ (ไวน์ชัยภูมิ) 750 ml,ไวน์,,N,,,,,,,391.14,03635660003868,,,Y,,Country Land Chaiyaphum,0.00,Y,439.00,24.000,6.000,12.000
ไวน์ลูกหม่อนฝาแดง-(ไวน์ชัยภูมิ),10646,ไวน์ลูกหม่อนฝาแดง (ไวน์ชัยภูมิ) 750 ml,ไวน์,,N,,,,,,,391.14,Jc10646,,,Y,,Country Land Chaiyaphum,0.00,Y,439.00,35.000,4.000,4.000
ไวน์ลูกหว้า-(ไวน์ชัยภูมิ),10560,ไวน์ลูกหว้า (ไวน์ชัยภูมิ) 750 ml,ไวน์,,N,,,,,,,378.99,JC10560,,,Y,,Country Land Chaiyaphum,0.00,Y,429.00,27.000,1.000,2.000
ไวน์อินทผาลัม-12%--(อุบลราชธานี),10437,ไวน์อินทผาลัม 13%  (อุบลราชธานี) 750 ml,ไวน์,,N,,,,,,,400.00,JC10437,,,Y,,วิสาหกิจชุมชน เกษตรมัลเบอร์รี่ อุบลราชธานี,0.00,Y,590.00,12.000,6.000,12.000
ไวน์เม่า-a-special-(ฝาเขียว),10111,ไวน์เม่า A Special (ฝาเขียว) ชาโต เดอ ภูพาน 750 ml,ไวน์,,N,,,,,,,298.57,8857200157414,,,Y,,ภูพานเครื่องดื่ม,0.00,Y,400.00,10.000,12.000,24.000
ไวน์เม่า-aa.premium-wine-(ฝาทอง),10229,ไวน์เม่า AA.Premium Wine (ฝาทอง)  ชาโต เดอ ภูพาน 750 ml,ไวน์,,N,,,,,,,380.00,8857200157421,,,Y,,ภูพานเครื่องดื่ม,0.00,Y,499.00,4.000,6.000,12.000
ไวน์เม่า-b-original-(ฝาแดง),10112,ไวน์เม่า B Original (ฝาแดง) ชาโต เดอ ภูพาน 750 ml,ไวน์,,N,,,,,,,220.00,8857200157445,,,Y,,ภูพานเครื่องดื่ม,0.00,Y,300.00,19.000,12.000,24.000
ไวน์เม่าaaa.-top-premium-wine-(ฝาส้มเข้ม),10215,ไวน์เม่าAAA. Top Premium Wine (ฝาส้มเข้ม)  ชาโต เดอ ภูพาน 750 ml,ไวน์,,N,,,,,,,580.00,JC10215,,,Y,,ภูพานเครื่องดื่ม,0.00,Y,749.00,7.000,6.000,12.000
ไวน์เม่าแดง-chang-chai-yo--750-ml.,10380,ไวน์เม่าแดง CHANG CHAI-YO  750 ml.,ไวน์,,N,,,,,,,212.50,JC10380,,,Y,,สหกรณ์การเกษตรโนนหัวช้าง,0.00,Y,350.00,13.000,18.000,36.000
ไส้กรอกอีสานเปรี้ยว-เจอกันนครพนม-500-g,10375,ไส้กรอกอีสานเปรี้ยว เจอกันนครพนม 500 g,อาหารสด,,N,,,,,,,90.00,JC10375,,,Y,,ไส้กรอกอีสาน คุณกุ้ง,90.00,Y,120.00,3.000,6.000,12.000
