Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [JERGUN CRAFT],Price [JERGUN CRAFT],In stock [JERGUN CRAFT],Low stock [JERGUN CRAFT],Optimal stock [JERGUN CRAFT]
1906-black-coupage-7.2%,10213,1906 Black Coupage 7.2% 330 ml,เบียร์คราฟท์,,N,,,,,,,135.26,8412598005862,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,135.26,Y,180.00,7.000,3.000,6.000
1906-red-vintage-8%,10216,1906 Red Vintage 8% 330 ml,เบียร์คราฟท์,,N,,,,,,,148.30,8412598005879,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,148.30,Y,195.00,5.000,3.000,6.000
1906-reserva-especial,10214,1906 Reserva Especial 330 ml,เบียร์คราฟท์,,N,,,,,,,108.30,8412598004964,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,108.30,Y,140.00,5.000,3.000,6.000
42-below-vodka-pure-70cl,10281,42 Below Vodka Pure 70CL,เหล้านำเข้า,,N,,,,,,,746.20,9421012620207,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,746.20,Y,799.00,13.000,1.000,2.000
96-brewing-kwa-kwa-thunder-pilsner,10467,96 Brewing Kwa Kwa Thunder Pilsner 490 ml,เบียร์คราฟท์,,N,,,,,,,159.00,8855796039022,,,Y,,บริษัท กรุ๊ปบี จำกัด,159.00,Y,220.00,0.000,3.000,6.000
a495-five-friends-dry-red-750-ml,10542,A495 FIVE FRIENDS DRY RED 750 ML,ไวน์,,N,,,,,,,259.19,9334463001290,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,259.19,Y,299.00,9.000,3.000,6.000
aik-cheong-cappuccino-306g-กาแฟ,10209,AIK CHEONG CAPPUCCINO 306g กาแฟ,กาแฟ,,N,,,,,,,101.65,9556771000295,,,Y,,บริษัท พิริยพูล อินเตอร์เนชั่นแนล จำกัด,101.65,Y,139.00,19.000,6.000,24.000
aik-cheong-matcha-latte-300g-ชาเขียว,10204,AIK CHEONG MATCHA LATTE 300g ชาเขียว,กาแฟ,,N,,,,,,,123.05,9556771004200,,,Y,,บริษัท พิริยพูล อินเตอร์เนชั่นแนล จำกัด,123.05,Y,159.00,7.000,6.000,24.000
aik-cheong-teh-tarik-3in1-456g-ชานม,10203,AIK CHEONG TEH TARIK 3IN1 456g ชานม,กาแฟ,,N,,,,,,,112.35,9556771000554,,,Y,,บริษัท พิริยพูล อินเตอร์เนชั่นแนล จำกัด,112.35,Y,149.00,15.000,6.000,24.000
aik-cheong-white-coffee-3in1-456g-กาแฟ,10226,AIK CHEONG WHITE COFFEE 3IN1 456g กาแฟ,กาแฟ,,N,,,,,,,101.65,9556771000318,,,Y,,บริษัท พิริยพูล อินเตอร์เนชั่นแนล จำกัด,101.65,Y,139.00,20.000,6.000,24.000
akaya-nisa-rice-wine,10687,Akaya Nisa Rice Wine 350 ml,สุราชุมชน,,N,,,,,,,199.00,JC10687,,,Y,,บริษัท กรุ๊ปบี จำกัด,199.00,Y,269.00,6.000,1.000,3.000
akaya-sasi-rice-wine,10684,Akaya Sasi Rice Wine 350 ml,สุราชุมชน,,N,,,,,,,199.00,8858793000603,,,Y,,บริษัท กรุ๊ปบี จำกัด,199.00,Y,269.00,6.000,1.000,3.000
akaya-tiwa-rice-wine,10561,Akaya Tiwa Rice Wine 350 ml,สุราชุมชน,,N,,,,,,,199.00,8859793000597,,,Y,,บริษัท กรุ๊ปบี จำกัด,199.00,Y,269.00,6.000,1.000,3.000
akaya-usa-rice-wine,10671,Akaya Usa Rice Wine 350 ml,สุราชุมชน,,N,,,,,,,199.00,8859793000610,,,Y,,บริษัท กรุ๊ปบี จำกัด,199.00,Y,269.00,6.000,1.000,3.000
angosuna-tarndoo-70cl,10988,Angostura Tamboo 70cl,เหล้านำเข้า,,N,,,,,,,1177.00,0075496333536,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,1177.00,Y,1290.00,3.000,2.000,3.000
anong-40%-750-ml,10485,Anong 40% 750 ml,สุราชุมชน,,N,,,,,,,812.50,JC10485,,,Y,,Nakin Beverage,762.50,Y,999.00,4.000,6.000,12.000
asbach-original-3-year-700ml.,10859,Asbach Original 3 year 700ML.,เหล้านำเข้า,,N,,,,,,,1091.40,4016500033116,,,Y,,บริษัท ไวน์ แอนด์ สปิริท ดิสทริบิวชั่น จำกัด,1091.40,Y,1399.00,3.000,1.000,3.000
babycham-200-ml,10926,babycham 200 ml,เบียร์คราฟท์,,N,,,,,,,83.46,JC10926,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,83.46,Y,99.00,8.000,4.000,12.000
babycham-4-x-200-ml,10927,Babycham 4 x 200 ml,เบียร์คราฟท์,,N,,,,,,,,5010134001328,10926,4.000,N,N,,,Y,399.00,,,
back-to-black-whiskey-700ml.,10857,Back to Black Whiskey 700ML.,เหล้านำเข้า,,N,,,,,,,582.08,5414145034311,,,Y,,บริษัท ไวน์ แอนด์ สปิริท ดิสทริบิวชั่น จำกัด,582.08,Y,799.00,3.000,3.000,6.000
baron,10989,Baron Brandy,เหล้านำเข้า,,N,,,,,,,492.20,8938511273359,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,0.00,Y,590.00,8.000,6.000,
baron-vincent-rouge-750ml,10538,Baron Vincent Rouge 750ml,ไวน์,,N,,,,,,,320.00,3700904303340,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,320.00,Y,399.00,20.000,3.000,6.000
barton-california-deluxe-brandy-1000-ml,10440,Barton California Deluxe Brandy 1000 ml,เหล้านำเข้า,,N,,,,,,,502.90,8066058103,,,Y,,บริษัท แอมโบรส ไวน์ จำกัด,502.90,Y,599.00,4.000,6.000,12.000
bavaria-premiuim,10129,BAVARIA PREMIUIM 660 ml,เบียร์คราฟท์,,N,,,,,,,156.29,JC10129,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,156.29,Y,200.00,13.000,3.000,9.000
bayreuther-hell-500-ml,10416,Bayreuther Hell 500 ml,เบียร์คราฟท์,,N,,,,,,,108.30,4017300003439,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,108.30,Y,148.00,0.000,3.000,9.000
beach-boys-golden-ale-330-ml,10413,Beach Boys Golden Ale 330 ml,เบียร์คราฟท์,,N,,,,,,,93.22,8859695700014,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,93.22,Y,126.00,8.000,3.000,9.000
beerlao-dark-bottle-330ml,10189,BEERLAO DARK BOTTLE 330ml,เบียร์คราฟท์,,N,,,,,,,59.00,8859313500088,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,59.00,Y,70.00,93.000,24.000,72.000
beerlao-gold,10154,BEERLAO GOLD 330 ml.,เบียร์คราฟท์,,N,,,,,,,77.20,8859313500118,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,77.20,Y,95.00,121.000,36.000,60.000
beerlao-green-bottle-330ml.,10762,BEERLAO GREEN BOTTLE 330ML.,เบียร์คราฟท์,,N,,,,,,,61.82,8859313505885,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,61.82,Y,89.00,158.000,36.000,72.000
beerlao-green-can-500ml.,10763,BEERLAO GREEN CAN 500ML.,เบียร์คราฟท์,,N,,,,,,,76.54,8859313505854,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,76.54,Y,109.00,112.000,36.000,72.000
beerlao-ipa-330-ml,10242,BEERLAO IPA 330 ml,เบียร์คราฟท์,,N,,,,,,,59.36,8859313504208,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,59.36,Y,70.00,66.000,24.000,72.000
beerlao-lager-bottle-330ml,10190,BEERLAO LAGER BOTTLE 330ml,เบียร์คราฟท์,,N,,,,,,,51.00,8859313500033,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,51.00,Y,60.00,76.000,24.000,72.000
